Slot,Reference
R1W1,W01
R1W8,W09
R1W5,W05
R1W4,W13
R1W6,W11
R1W3,W03
R1W7,W07
R1W2,W02
R1X1,X01
R1X8,X09
R1X5,X12
R1X4,X04
R1X6,X06
R1X3,X03
R1X7,X07
R1X2,X02
R1Y1,Y01
R1Y8,Y08
R1Y5,Y05
R1Y4,Y04
R1Y6,Y11
R1Y3,Y03
R1Y7,Y07
R1Y2,Y02
R1Z1,Z01
R1Z8,Z09
R1Z5,Z12
R1Z4,Z04
R1Z6,Z11
R1Z3,Z14
R1Z7,Z10
R1Z2,Z02
R2W1,W01
R2W4,W05
R2W3,W03
R2W2,W02
R2X1,X01
R2X4,X04
R2X3,X06
R2X2,X02
R2Y1,Y01
R2Y4,Y05
R2Y3,Y03
R2Y2,Y02
R2Z1,Z01
R2Z4,Z04
R2Z3,Z11
R2Z2,Z02
R3W1,W01
R3W2,W03
R3X1,X04
R3X2,X06
R3Y1,Y01
R3Y2,Y02
R3Z1,Z04
R3Z2,Z11
R4W1,W01
R4X1,X04
R4Y1,Y01
R4Z1,Z11
R5WX,W01
R5YZ,Y01
R6CH,W01
